census_tract_id_2010,adi,coi_education,coi_health_env,coi_social_econ,coi,dep_index_fraction_assisted_income,dep_index_fraction_high_school_edu,dep_index_median_income,dep_index_fraction_no_health_ins,dep_index_fraction_poverty,dep_index_fraction_vacant_housing,dep_index,lead_paint,diesel_pm,cancer_risk,resp_hazard_ind,traffic_proximity,major_discharger_water,nat_priority_proximity,risk_management_proximity,disposal_proximity,ozone_conc,pm_conc,low_food_access_flag,low_food_access_pop,low_food_access_pct,food_insecurity_pct,hpsa_mh,hpsa_pc,ice,pct_crowding,mrfei,mua,pct_1or2_risk_factors,pct_3ormore_risk_factors,sdi,svi_socioeconomic,svi_household_comp,svi_minority,svi_housing_transportation,svi,walkability_index,year
39061000200,76,-0.0691,-0.10500000000000001,-0.441,-0.07010000000000001,0.47200000000000003,0.8390000000000001,19400,0.12400000000000001,0.496,0.0955,0.617,0.38,1.33,36.4,0.54,8080,0.129,0.062,4.18,4.64,46.5,9.709999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,-0.595,5,8,FALSE,33.6,46.3,99,0.758,0.7939999999999999,0.803,0.931,0.911,15,2019
39061000700,27,0.00387,-0.0943,0.07,-0.0014,0.0425,0.9570000000000001,64900,0.0388,0.14800000000000002,0.114,0.279,0.71,1.43,35.7,0.55,2820,0.0155,0.063,2.25,10.4,46.5,9.67,FALSE,NA,NA,0.128,FALSE,FALSE,0.203,2.4,5,TRUE,40.9,12,62,0.223,0.050300000000000004,0.17300000000000001,0.901,0.28400000000000003,18,2019
39061000900,25,0.0015,-0.053900000000000003,-0.23500000000000001,-0.033,0.34299999999999997,0.8720000000000001,38400,0.1,0.39,0.348,0.542,0.8500000000000001,1.33,34.5,0.52,1010,0.013200000000000002,0.064,3.8099999999999996,6.31,46.5,9.7,FALSE,NA,NA,0.128,FALSE,FALSE,0.05,1.1,12.1,TRUE,35.5,32.9,97,0.776,0.24000000000000002,0.321,0.8480000000000001,0.6719999999999999,18.8,2019
39061001000,30,-0.0035800000000000003,-0.0479,-0.07710000000000002,-0.0145,0.196,0.92,62400,0.0456,0.21800000000000003,0.309,0.384,0.76,1.37,34.7,0.52,953,0.0303,0.065,2.9699999999999998,6.54,46.6,9.69,FALSE,NA,NA,0.128,FALSE,TRUE,0.193,1.1,9.860000000000001,TRUE,34.5,32.4,89,0.494,0.06470000000000001,0.548,0.809,0.48900000000000005,18.4,2019
39061001100,39,-0.0116,-0.054000000000000006,-0.325,-0.044899999999999995,0.268,0.8610000000000001,54600,0.0478,0.348,0.258,0.463,0.91,1.43,36.3,0.5700000000000001,3280,0.017,0.066,2.18,6,46.6,9.69,FALSE,NA,NA,0.128,FALSE,FALSE,0.004,2.5,8.93,TRUE,30.1,41.9,94,0.717,0.20800000000000002,0.349,0.372,0.461,19.2,2019
39061001600,74,-0.0452,-0.15400000000000003,-0.461,-0.07510000000000001,0.518,0.767,19900,0.10600000000000001,0.466,0.493,0.6859999999999999,0.9400000000000001,1.29,34.9,0.53,749,0.0849,0.066,5.94,5.54,46.6,9.719999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,-0.448,4.1,15.7,TRUE,39,33.5,100,0.971,0.896,0.40800000000000003,0.913,0.9390000000000001,18.4,2019
39061001700,53,-0.0365,-0.0564,-0.43600000000000005,-0.0608,0.43900000000000006,0.89,17600,0.09,0.347,0.42200000000000004,0.5770000000000001,0.9,1.32,34.8,0.52,517,0.0256,0.067,3.5,5.68,46.6,9.709999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,-0.375,0,16.7,TRUE,39.6,39.8,98,0.8490000000000001,0.8240000000000001,0.41100000000000003,0.233,0.654,18.5,2019
39061001800,34,-0.029699999999999997,-0.036199999999999996,0.054200000000000005,-8.02e-4,0.12100000000000001,0.902,57800,0.0621,0.14300000000000002,0.253,0.35,0.91,1.37,34.7,0.54,2400,0.0149,0.068,2.32,5.659999999999999,46.6,9.709999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,0.197,0.9,15.2,TRUE,26.2,20.8,76,0.348,0.10400000000000001,0.23700000000000002,0.6869999999999999,0.312,17,2019
39061001900,50,-0.0669,-0.0337,-0.07840000000000001,-0.0201,0.137,0.88,66500,0.0937,0.18,0.137,0.361,0.69,1.3800000000000001,33.6,0.53,1220,0.0256,0.07300000000000001,1.71,6.22,46.7,9.7,TRUE,1280,89,0.128,FALSE,FALSE,0.024,0.6,3.57,TRUE,38.2,28.4,77,0.492,0.10200000000000001,0.48800000000000004,0.8190000000000001,0.505,15.8,2019
39061002000,28,-0.042300000000000004,-0.00585,0.0397,-6.770000000000001e-4,0.0295,0.928,67400,0.0894,0.10400000000000001,0.126,0.29000000000000004,0.6599999999999999,1.29,33.4,0.52,929,0.0365,0.07500000000000001,1.52,5.96,46.7,9.709999999999999,TRUE,1350,100,0.128,FALSE,FALSE,0.15600000000000003,3.2,5.26,FALSE,45,19,60,0.266,0.0843,0.42000000000000004,0.8440000000000001,0.376,14.6,2019
39061002200,94,-0.051800000000000006,-0.0904,-0.316,-0.0522,0.168,0.928,24100,0.15200000000000002,0.346,0.28500000000000003,0.48900000000000005,0.72,1.27,33.6,0.52,1830,0.0129,0.07200000000000001,2.25,6.64,46.7,9.719999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,-0.33999999999999997,0,5.88,FALSE,34.3,38.6,95,0.8190000000000001,0.463,0.8180000000000001,0.638,0.7879999999999999,14.9,2019
39061002300,48,-0.0371,-0.093,-0.513,-0.0738,0.33099999999999996,0.8460000000000001,27700,0.0833,0.52,0.319,0.586,0.8500000000000001,1.3,33.9,0.53,215,0.037399999999999996,0.06899999999999999,2.8899999999999997,6.31,46.7,9.719999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,-0.28200000000000003,5.8,10.9,TRUE,55,24.8,98,0.897,0.921,0.654,0.932,0.9550000000000001,12.5,2019
39061002500,84,-0.0349,-0.0392,-0.266,-0.039,0.0378,0.8540000000000001,25600,0.0569,0.48700000000000004,0.281,0.47700000000000004,0.55,1.28,33.8,0.52,530,0.07800000000000001,0.07100000000000001,2.9699999999999998,7.2,46.7,9.739999999999998,FALSE,NA,NA,0.128,FALSE,FALSE,-0.048,3.2,12.5,FALSE,39.6,25.4,84,0.767,0.0062,0.115,0.47600000000000003,0.24700000000000003,15.2,2019
39061002600,80,-0.0127,-0.006,-0.125,-0.0166,0.07660000000000002,0.9430000000000001,29800,0.07050000000000001,0.527,0.165,0.459,0.76,1.27,34.2,0.53,403,0.0997,0.06899999999999999,3.53,6.63,46.6,9.75,FALSE,NA,NA,0.128,FALSE,FALSE,-0.15900000000000003,0.6,9.8,FALSE,35.9,11.4,86,0.759,0.0067,0.464,0.704,0.42400000000000004,16.2,2019
39061002700,62,-0.029199999999999997,0.0074800000000000005,-0.187,-0.024300000000000002,0.133,0.925,35900,0.050800000000000005,0.29400000000000004,0.14500000000000002,0.395,0.72,1.26,34.1,0.52,2190,0.14200000000000002,0.06899999999999999,3.3,6.95,46.6,9.76,FALSE,NA,NA,0.128,FALSE,FALSE,0.07,1.1,3.7,FALSE,35.2,15.6,94,0.73,0.025500000000000002,0.29800000000000004,0.20700000000000002,0.24900000000000003,13,2019
39061002800,92,-0.036199999999999996,-0.0975,-0.41200000000000003,-0.0624,0.29300000000000004,0.656,43100,0.0655,0.29800000000000004,0.272,0.539,0.97,1.42,36.5,0.6,7250,0.228,0.07200000000000001,4.67,9.34,46.6,9.81,FALSE,56,4,0.128,FALSE,FALSE,-0.045,14.3,8.7,FALSE,36.9,25.2,97,0.9400000000000001,0.445,0.21700000000000003,0.9420000000000001,0.8250000000000001,13.9,2019
39061002900,88,0.0271,-0.0279,-0.114,-0.013200000000000002,0.0656,0.923,30800,0.0794,0.323,0.128,0.4,0.45,1.23,34.6,0.53,1870,0.112,0.07400000000000001,3.11,9.09,46.7,9.79,FALSE,NA,NA,0.128,FALSE,FALSE,-0.167,2.1,2.94,FALSE,41,29,83,0.8220000000000001,0.0156,0.6869999999999999,0.88,0.636,12.2,2019
39061003000,95,0.00311,-0.0452,-0.17500000000000002,-0.024900000000000002,0.0413,0.9460000000000001,23800,0.025400000000000002,0.5740000000000001,0.15300000000000002,0.449,0.37,1.23,34.1,0.52,572,0.055600000000000004,0.07600000000000001,2.8099999999999996,11.7,46.7,9.77,FALSE,NA,NA,0.128,FALSE,FALSE,-0.23600000000000002,6.6,8.11,FALSE,52.9,18.2,91,0.8540000000000001,0.0023,0.467,0.932,0.5710000000000001,15.2,2019
39061003200,58,-0.017400000000000002,-0.0305,-0.187,-0.027,0.0795,0.908,22100,0.12100000000000001,0.534,0.135,0.497,0.33999999999999997,1.1900000000000002,33.9,0.52,953,0.0108,0.079,2.86,12.8,46.8,9.76,FALSE,NA,NA,0.128,FALSE,TRUE,-0.229,2.7,8.01,FALSE,56.3,16.5,79,0.6869999999999999,0.0068000000000000005,0.651,0.986,0.61,13.3,2019
39061003300,81,-0.0502,-0.019,-0.308,-0.043500000000000004,0.15800000000000003,0.8580000000000001,25400,0.0938,0.532,0.197,0.528,0.5,1.23,34,0.52,706,0.0202,0.07600000000000001,2.4299999999999997,11.6,46.7,9.739999999999998,FALSE,NA,NA,0.128,FALSE,TRUE,-0.229,2.4,4.76,FALSE,55.7,25.7,98,0.9420000000000001,0.029199999999999997,0.522,0.734,0.643,17.9,2019
39061003600,98,-0.0926,-0.11,-0.6629999999999999,-0.09929999999999999,0.63,0.7,12100,0.0504,0.622,0.234,0.738,0.49,1.1900000000000002,34.7,0.53,3500,0.013000000000000001,0.084,1.79,9.53,46.8,9.739999999999998,TRUE,1050,72,0.128,FALSE,FALSE,-0.6809999999999999,2.6,3.03,FALSE,35,51,97,0.908,1,0.48100000000000004,0.909,0.975,15.5,2019
39061003700,72,-0.097,-0.0404,-0.611,-0.0863,0.452,0.744,9960,0.0804,0.502,0.234,0.652,0.7,1.22,34.4,0.54,1030,0.020300000000000002,0.079,1.3800000000000001,7.970000000000001,46.8,9.719999999999999,TRUE,1910,99,0.128,FALSE,FALSE,-0.543,0,4.35,TRUE,32.4,41.5,100,0.979,0.728,0.447,0.715,0.8570000000000001,14.8,2019
39061003800,80,-0.07800000000000001,-0.10800000000000001,-0.362,-0.0623,0.263,0.8430000000000001,20800,0.0378,0.363,0.24700000000000003,0.501,0.8200000000000001,1.1400000000000001,34.4,0.52,4130,0.011,0.092,2.59,8.25,46.8,9.75,TRUE,2390,98,0.128,FALSE,FALSE,-0.455,0.6,0,FALSE,28.9,35.7,98,0.8720000000000001,0.926,0.464,0.804,0.882,13.7,2019
39061003900,88,-0.0979,-0.14300000000000002,-0.448,-0.07830000000000001,0.33699999999999997,0.811,30400,0.17600000000000002,0.31,0.349,0.5740000000000001,0.9400000000000001,1.1600000000000001,34.5,0.52,223,0.0149,0.08700000000000001,1.71,6.78,46.8,9.739999999999998,TRUE,1940,100,0.128,FALSE,FALSE,-0.358,2.6,0,FALSE,53.3,21.4,89,0.935,0.982,0.465,0.41000000000000003,0.8400000000000001,12.7,2019
39061004000,69,-0.035899999999999994,-0.0337,-0.189,-0.029599999999999998,0.134,0.921,46900,0.07060000000000001,0.119,0.109,0.33799999999999997,0.76,1.06,33.4,0.5,2400,0.011899999999999999,0.093,2.06,7.14,46.8,9.739999999999998,TRUE,1880,89,0.128,FALSE,FALSE,-0.091,0,0,FALSE,39.8,33.5,79,0.5700000000000001,0.924,0.548,0.7869999999999999,0.765,15,2019
39061004100,25,-0.0365,-0.07350000000000001,-0.08020000000000001,-0.0212,0.17900000000000002,0.9450000000000001,64300,0.054900000000000004,0.21100000000000002,0.23700000000000002,0.362,0.7799999999999999,1.1600000000000001,33.6,0.51,757,0.019799999999999998,0.085,1.41,5.73,46.8,9.729999999999999,TRUE,1550,100,0.128,FALSE,FALSE,0.091,0.7,0,FALSE,32,36.6,83,0.52,0.266,0.34199999999999997,0.699,0.492,16.2,2019
39061004200,42,-0.0601,-0.0288,0.14800000000000002,0.0076,0.0951,0.9430000000000001,55100,0.07860000000000002,0.12100000000000001,0.10400000000000001,0.314,0.55,1.23,33.2,0.52,1550,0.036,0.08,1.42,5.26,46.7,9.709999999999999,TRUE,1820,100,0.128,FALSE,FALSE,0.17300000000000001,0,0,FALSE,51,22.2,42,0.16,0.059000000000000004,0.42200000000000004,0.274,0.12000000000000001,13.1,2019
39061004500,19,0.09949999999999999,0.038,0.225,0.0413,0.01,0.9580000000000001,94000,0.0161,0,0.0656,0.181,0.33999999999999997,0.726,30.3,0.42000000000000004,298,0.6779999999999999,0.064,1.6,0.24100000000000002,46.4,9.47,TRUE,1060,100,0.128,FALSE,FALSE,0.42600000000000005,2.1,0,FALSE,45.2,13.8,25,0.009399999999999999,0.385,0.0507,0.05380000000000001,0.0164,6.83,2019
39061004602,59,0.0616,-0.006209999999999999,0.131,0.021500000000000002,0.221,0.961,50600,0.05330000000000001,0.0811,0.0794,0.324,0.32,0.561,30,0.41000000000000003,330,0.29400000000000004,0.07800000000000001,0.534,0.4,46.5,9.47,FALSE,408,8,0.128,FALSE,FALSE,0.10700000000000001,3.7,14.3,FALSE,37.2,31.1,43,0.198,0.162,0.346,0.43500000000000005,0.21400000000000002,10.6,2019
39061004603,62,0.033,0.046,0.19,0.030699999999999998,0.07050000000000001,0.923,66200,0.025,0.0349,0.029599999999999998,0.24600000000000002,0.7,0.549,29.9,0.41000000000000003,273,0.24700000000000003,0.07600000000000001,0.309,0.376,46.5,9.43,TRUE,705,24,0.128,FALSE,FALSE,0.185,0,25,FALSE,37.3,20.7,17,0.187,0.197,0.118,0.362,0.14200000000000002,12.2,2019
39061004604,65,0.0309,0.0109,0.0107,0.00583,0.15200000000000002,0.893,50300,0.022799999999999997,0.17900000000000002,0.05310000000000001,0.33999999999999997,0.28,0.559,30,0.41000000000000003,535,0.0409,0.08700000000000001,0.361,0.591,46.6,9.5,FALSE,157,4,0.128,FALSE,FALSE,0.055,0.7,22.2,FALSE,55.5,15.2,59,0.604,0.9,0.17700000000000002,0.309,0.515,8.39,2019
39061004605,50,0.0273,0.024900000000000002,0.191,0.028,0.0833,0.969,63900,0.0448,0.081,0.0954,0.268,0.27,0.599,30.4,0.42000000000000004,223,0.056100000000000004,0.08,0.6679999999999999,0.517,46.6,9.52,FALSE,268,11,0.128,FALSE,FALSE,0.19,0,22.2,FALSE,27.3,23.2,44,0.14200000000000002,0.127,0.17600000000000002,0.166,0.06770000000000001,9.5,2019
39061004701,18,0.0452,0.0381,0.308,0.045,0.0121,0.988,98700,0.021900000000000003,0.046,0.0628,0.183,0.63,0.8600000000000001,32.2,0.47000000000000003,601,0.011399999999999999,0.07800000000000001,1.44,3.32,46.7,9.639999999999999,TRUE,2890,100,0.128,FALSE,FALSE,0.541,1.4,0,FALSE,34.2,13.1,10,0.016300000000000002,0.0212,0.197,0.366,0.026600000000000002,11.8,2019
39061004702,86,-0.0103,-0.0386,-0.0315,-0.00891,0.28600000000000003,0.776,46500,0.08,0.305,0.21400000000000002,0.497,0.89,0.722,32.3,0.46,2320,0.0112,0.079,1.1600000000000001,1.94,46.6,9.59,TRUE,847,97,0.128,FALSE,FALSE,0.14600000000000002,6,4.8,FALSE,35.8,9.28,93,0.775,0.311,0.275,0.42600000000000005,0.525,14,2019
39061004800,13,0.0584,0.0605,0.354,0.05410000000000001,0,0.996,125000,0.004860000000000001,0.0146,0,0.126,0.7899999999999999,0.772,32.1,0.46,352,1.9e-4,0.08600000000000001,1.1400000000000001,5.1,46.8,9.66,TRUE,1780,55,0.128,FALSE,FALSE,0.625,0,16.7,FALSE,35.6,7.99,6,6.000000000000001e-4,0.10400000000000001,0.084,0.0274,0.0013,11.9,2019
39061004900,16,0.0361,0.0439,0.269,0.04,0.043000000000000003,0.991,109000,0.0131,0.0794,0.0412,0.184,0.65,0.9490000000000001,32.6,0.47000000000000003,485,0.0116,0.08600000000000001,1.3900000000000001,5.79,46.8,9.7,TRUE,3320,53,0.128,FALSE,FALSE,0.464,1.1,0,FALSE,38.1,11.2,18,0.0356,0.0477,0.10600000000000001,0.449,0.055600000000000004,11.5,2019
39061005000,22,0.040600000000000004,0.0171,0.24600000000000002,0.034999999999999996,0.0327,0.98,69200,0.0469,0.0584,0.0806,0.23700000000000002,0.75,0.92,32.8,0.48000000000000004,1350,0.00447,0.095,1.74,6.970000000000001,46.8,9.719999999999999,FALSE,269,6,0.128,FALSE,FALSE,0.396,0,13.6,FALSE,40.5,11.9,32,0.018400000000000003,0.0793,0.443,0.395,0.10800000000000001,14.7,2019
39061005100,20,0.0685,0.057600000000000005,0.308,0.0497,0.0159,0.997,99900,0.028900000000000002,0.042100000000000005,0.0358,0.17800000000000002,0.8600000000000001,0.8410000000000001,32.6,0.46,221,1.8e-4,0.094,1.29,7.25,46.8,9.7,FALSE,NA,NA,0.128,FALSE,FALSE,0.515,0,16.7,FALSE,31.9,11.4,7,0.0049,0.0281,0.07300000000000001,0.185,0.0055,13.4,2019
39061005200,33,0.053000000000000005,0.030699999999999998,0.24400000000000002,0.0375,0.0328,0.975,76200,0.022099999999999998,0.054000000000000006,0.0197,0.21300000000000002,0.89,0.924,33.4,0.47000000000000003,1790,6.8e-4,0.10500000000000001,2.24,9.92,46.9,9.75,FALSE,NA,NA,0.128,FALSE,FALSE,0.33199999999999996,0,15.4,FALSE,38.2,8.29,45,0.131,0.0164,0.252,0.441,0.0666,14.4,2019
39061005301,40,0.0743,0.0275,0.22,0.0368,0.11,0.933,71800,0.0196,0.15400000000000003,0.0713,0.28700000000000003,0.49,0.903,34.6,0.48000000000000004,521,4.900000000000001e-4,0.10400000000000001,2.02,11.1,46.9,9.729999999999999,FALSE,NA,NA,0.128,FALSE,FALSE,0.265,1.9,19.2,FALSE,29.2,14.6,56,0.329,0.0318,0.384,0.752,0.29000000000000004,16.8,2019
39061005302,37,0.0412,9.719999999999999e-4,0.167,0.0241,0.0689,0.967,77000,0.049600000000000005,0.10200000000000001,0.09029999999999999,0.258,0.47000000000000003,0.8230000000000001,33.5,0.47000000000000003,354,0.00126,0.10200000000000001,1.28,8.3,46.8,9.7,FALSE,NA,NA,0.128,FALSE,FALSE,0.33799999999999997,0.7,19.2,FALSE,31.6,26.1,44,0.14500000000000002,0.228,0.15000000000000002,0.652,0.227,8.83,2019
39061005400,47,0.031,-0.0165,0.187,0.0235,0.112,0.985,57100,0.10300000000000001,0.10500000000000001,0.129,0.312,0.38,0.904,36.3,0.5,1760,0.004520000000000001,0.116,2.01,14.4,46.9,9.75,FALSE,NA,NA,0.128,FALSE,FALSE,0.082,0,15.8,FALSE,43.7,16.3,39,0.185,0.022799999999999997,0.41900000000000004,0.539,0.14800000000000002,16,2019
39061005500,71,-0.033600000000000005,-0.0372,-0.15900000000000003,-0.0262,0.191,0.893,40700,0.043500000000000004,0.17800000000000002,0.133,0.378,0.61,0.751,32.3,0.45,711,5.200000000000001e-4,0.113,0.739,6.91,46.9,9.69,TRUE,1840,48,0.128,FALSE,FALSE,-0.17700000000000002,1,9.52,FALSE,45.6,27.9,86,0.43000000000000005,0.6849999999999999,0.349,0.75,0.5690000000000001,14.4,2019
39061005600,74,-0.029199999999999997,-0.0021,0.0224,-8.43e-4,0.111,0.9390000000000001,49000,0.0801,0.191,0.08510000000000001,0.345,0.88,0.6829999999999999,31.8,0.44,137,0.0147,0.12000000000000001,0.42800000000000005,3.71,46.9,9.629999999999999,TRUE,3120,57,0.128,FALSE,FALSE,0.043000000000000003,1.2,0,FALSE,38.2,20.1,65,0.462,0.517,0.29000000000000004,0.271,0.35,14.9,2019
39061005701,51,-0.041800000000000004,-0.0204,0.08360000000000001,0.00296,0.14500000000000002,0.937,52500,0.059500000000000004,0.15700000000000003,0.133,0.33999999999999997,0.71,0.734,32.5,0.46,317,3.8e-4,0.17200000000000001,1.6400000000000001,7.6899999999999995,47,9.77,TRUE,693,24,0.128,FALSE,FALSE,0.168,0,0,FALSE,48.8,12.6,63,0.307,0.29800000000000004,0.635,0.361,0.352,16,2019
39061005702,56,-0.00107,-0.0268,0.229,0.023799999999999998,0.07110000000000001,0.88,60900,0.08020000000000001,0.07070000000000001,0.0929,0.305,0.73,0.881,34.1,0.48000000000000004,560,6.900000000000001e-4,0.14800000000000002,2.63,10.1,46.9,9.77,FALSE,NA,NA,0.128,FALSE,FALSE,0.221,0,11.1,FALSE,31.2,23.4,45,0.361,0.15600000000000003,0.716,0.446,0.39,13.1,2019
39061005800,72,-0.042,-0.00848,-0.0192,-0.00779,0.132,0.907,38800,0.061399999999999996,0.162,0.0522,0.351,0.58,0.737,32.2,0.45,438,2.8e-4,0.163,1.01,6.14,47,9.719999999999999,TRUE,3640,71,0.128,FALSE,FALSE,-0.15500000000000003,0.8,0,FALSE,44,29,70,0.47500000000000003,0.8780000000000001,0.644,0.605,0.6719999999999999,12.3,2019
39061005900,52,-0.028,-0.011399999999999999,-0.017300000000000003,-0.00633,0.09179999999999999,0.9590000000000001,48200,0.043300000000000005,0.14600000000000002,0.0164,0.29800000000000004,0.76,0.886,33.2,0.48000000000000004,293,6.500000000000001e-4,0.15800000000000003,3.96,13.5,46.9,9.79,FALSE,NA,NA,0.128,FALSE,FALSE,0.062,0,0,FALSE,52.2,12.4,78,0.49,0.203,0.317,0.135,0.226,11,2019
39061006000,83,-0.0899,-0.041800000000000004,-0.083,-0.0241,0.127,0.886,36600,0.101,0.17,0.15400000000000003,0.389,0.5700000000000001,0.7909999999999999,33.7,0.47000000000000003,1350,0.07470000000000002,0.24700000000000003,2.5,9.12,46.9,9.81,FALSE,NA,NA,0.128,FALSE,FALSE,-0.023,4.4,13.3,TRUE,39.2,23.1,72,0.6719999999999999,0.525,0.619,0.892,0.771,11.4,2019
39061006100,92,-0.118,-0.0792,-0.325,-0.0594,0.311,0.73,34200,0.23,0.258,0.15900000000000003,0.5700000000000001,0.7899999999999999,0.8190000000000001,33,0.48000000000000004,1970,0.23800000000000002,0.165,6.01,13.7,46.9,9.82,FALSE,0,0,0.128,FALSE,FALSE,-0.14,15.9,6.78,FALSE,38.8,37.9,96,0.8640000000000001,0.8630000000000001,0.8420000000000001,0.718,0.907,12.5,2019
39061006300,77,-0.11,-0.0671,-0.0623,-0.026600000000000002,0.115,0.8790000000000001,38400,0.0391,0.164,0.128,0.357,0.6799999999999999,0.8660000000000001,33.9,0.49,946,0.0153,0.14600000000000002,4.359999999999999,12,46.9,9.81,FALSE,NA,NA,0.128,FALSE,FALSE,-0.20600000000000002,0,5.56,FALSE,32.3,31.1,63,0.523,0.921,0.5780000000000001,0.311,0.594,11.7,2019
39061006400,83,-0.0619,-0.0892,-0.42400000000000004,-0.0658,0.28800000000000003,0.8380000000000001,31000,0.021400000000000002,0.226,0.15400000000000003,0.44,0.61,0.8740000000000001,34.1,0.5,2660,0.0376,0.138,5.01,13.2,46.9,9.82,TRUE,1490,46,0.128,FALSE,FALSE,-0.311,0.6,22.2,FALSE,51.6,27.6,94,0.882,0.998,0.491,0.556,0.891,12.7,2019
39061006500,56,-0.00292,-0.0286,-0.222,-0.029199999999999997,0.198,0.8740000000000001,45300,0.0517,0.202,0.133,0.392,0.65,0.9460000000000001,33.4,0.5,470,NA,0.10500000000000001,4.14,11,46.8,9.8,TRUE,2180,37,0.128,FALSE,FALSE,-0.20800000000000002,0,8.33,FALSE,47.4,24.2,76,0.714,0.491,0.583,0.8720000000000001,0.765,12.1,2019
